ID,Series,Repeat,Ambient Humidity,Ambient Temperature,ECSt mAU,gH+,Leaf Temperature Differential,LEF,Light Intensity (PAR),NPQt,Phi2,PhiNO,PhiNPQ,PS1 Active Centers,PS1 Open Centers,PS1 Over Reduced Centers,PS1 Oxidized Centers,vH+,time,id?,Time of Day,User,Device ID,Label,Treatment,dayspostdrought,weight,Rating ,Rootbiomass,Shootbiomass,Species
3157324,Whole Data Set,1,33.60352,29.45,0.00013,1374.74,-4.6,1.39,4.751,1.602,0.65,0.134,0.215,0.811,0.403,0.033,0.564,0.179,12/2/22 14:48,28,14.80055556,Zachary Noel,31:f4:e8:3e,28,OEO-196,0,411.25,0,0.47,0.65,L. elongata OEO-196
3157325,Whole Data Set,1,33.46191,29.48,0.00014,-6571.601,-7.49,1.68,5.44,0.973,0.687,0.159,0.154,1.742,0.153,0.525,0.322,-0.92,12/2/22 14:48,29,14.80944444,Zachary Noel,31:f4:e8:3e,29,OEO-305,0,389.8,0,0.21,0.99,M. alpina OEO-305
3157326,Whole Data Set,1,33.58301,29.5,0.00008,377.972,-3.07,1.75,5.203,0.848,0.748,0.136,0.116,1.363,0.331,-0.135,0.804,0.03,12/2/22 14:49,30,14.82138889,Zachary Noel,31:f4:e8:3e,30,NVP5,0,373.7,0,0.13,1.1,M. elongata NVP
3157327,Whole Data Set,1,33.80273,29.54,0.00006,236.325,-3.87,1.84,5.203,0.548,0.787,0.137,0.075,-2.332,-0.215,0.787,0.427,0.014,12/2/22 14:49,31,14.83083333,Zachary Noel,31:f4:e8:3e,31,DF,0,409.22,0,0.19,1.33,control drought
3157328,Whole Data Set,1,33.40918,29.58,0.00005,1037.148,-5.73,1.71,5.21,1.05,0.731,0.131,0.138,0.437,0.504,-0.774,1.27,0.052,12/2/22 14:50,32,14.84027778,Zachary Noel,31:f4:e8:3e,32,CCH_F37_B,0,367.83,0,0.18,0.96,P. citrinum CCH_F37_B
3157329,Whole Data Set,1,33.40234,29.65,0.00011,316.805,-8.04,0.35,1.036,0.302,0.753,0.19,0.057,1.597,0.194,0.368,0.438,0.035,12/2/22 14:51,33,14.85222222,Zachary Noel,31:f4:e8:3e,33,NDF,0,372.7,0,0.81,3.31,control No-drought
3157330,Whole Data Set,1,33.84961,29.68,0.00002,1180.404,-10.95,0.84,2.686,1.429,0.699,0.124,0.177,0.998,0.456,0.31,0.234,0.024,12/2/22 14:51,34,14.86166667,Zachary Noel,31:f4:e8:3e,34,OEO-305,0,389.24,0,0.17,0.9,M. alpina OEO-305
3157331,Whole Data Set,1,33.91211,29.71,0.00011,77.497,-3.6,1.78,5.635,0.668,0.701,0.179,0.12,2.454,0.109,0.665,0.225,0.009,12/2/22 14:52,35,14.87083333,Zachary Noel,31:f4:e8:3e,35,NVP5,0,412.92,0,0.19,0.72,M. elongata NVP
3157332,Whole Data Set,1,33.67383,29.75,0.00015,96.495,-3.32,1.93,6.071,1.018,0.707,0.145,0.148,0.106,0.19,-7.001,7.811,0.014,12/2/22 14:52,36,14.88,Zachary Noel,31:f4:e8:3e,36,CCH_F37_B,0,385.27,0,0.19,0.69,P. citrinum CCH_F37_B
3157333,Whole Data Set,1,33.93066,29.8,0.00018,330.251,-5.95,2.04,6.326,0.536,0.717,0.184,0.099,1.961,0.21,0.635,0.154,0.059,12/2/22 14:53,37,14.89416667,Zachary Noel,31:f4:e8:3e,37,OEO-304,0,342.43,0,0.21,1.11,M. calciphila OEO-304
3157334,Whole Data Set,1,33.7041,29.83,0.00026,26.727,-8.98,1.77,6.065,1.418,0.65,0.145,0.205,1.308,0.332,0.418,0.249,0.007,12/2/22 14:54,38,14.90305556,Zachary Noel,31:f4:e8:3e,38,OEO-196,0,403.05,0,0.26,1.22,L. elongata OEO-196
3157335,Whole Data Set,1,33.82715,29.87,0.00022,71.225,-10.54,1.81,6.069,1.194,0.664,0.153,0.183,1.516,0.143,0.516,0.341,0.016,12/2/22 14:54,39,14.91222222,Zachary Noel,31:f4:e8:3e,39,OEO-198,0,390.27,0,0.23,1.3,L. elongata OEO-198
3157336,Whole Data Set,1,33.78223,29.9,-0.00001,-156.969,-3.89,1.52,5.726,0.742,0.591,0.234,0.174,0.531,0.376,0.031,0.594,0.002,12/2/22 14:55,40,14.9225,Zachary Noel,31:f4:e8:3e,40,DF,0,385.75,0,0.12,0.86,control drought
3157337,Whole Data Set,1,33.12012,29.91,0.00006,96.202,-9.1,0.77,2.432,1.507,0.703,0.119,0.179,-0.212,-1.782,4.839,-2.057,0.006,12/2/22 14:56,41,14.93833333,Zachary Noel,31:f4:e8:3e,41,OEO-304,0,377.19,0,0.31,1.33,M. calciphila OEO-304
3157338,Whole Data Set,1,33.01172,29.91,0.00005,-238959.786,-3.72,2.24,6.253,0.276,0.796,0.16,0.044,-2.384,-0.119,1.326,-0.207,-11.948,12/2/22 14:56,42,14.94916667,Zachary Noel,31:f4:e8:3e,42,DF,0,422.73,0,0.13,0.28,control drought
3157339,Whole Data Set,1,33.32422,29.9,0.00006,195.844,-3.43,0.3,1.067,1.746,0.632,0.134,0.234,1.348,0.25,0.112,0.638,0.012,12/2/22 14:57,43,14.95944444,Zachary Noel,31:f4:e8:3e,43,NVP5,0,398.17,0,0.26,1.08,M. elongata NVP
3157340,Whole Data Set,1,33.76953,29.9,0.00014,302.28,-3.47,1.37,4.197,0.833,0.724,0.151,0.126,1.427,0.084,0.712,0.204,0.042,12/2/22 14:58,44,14.96944444,Zachary Noel,31:f4:e8:3e,44,OEO-196,0,408.05,0,0.22,0.96,L. elongata OEO-196
3157341,Whole Data Set,1,33.79492,29.91,0.00012,152.413,-4,2.4,6.917,0.977,0.772,0.115,0.113,-0.128,-2.41,10.748,-7.338,0.018,12/2/22 14:58,45,14.97944444,Zachary Noel,31:f4:e8:3e,45,OEO-305,0,381.89,0,0.28,0.84,M. alpina OEO-305
3157342,Whole Data Set,1,33.32715,29.94,0.00012,72.63,-3.33,1.97,5.935,0.803,0.736,0.147,0.118,1.041,0.592,0.307,0.101,0.009,12/2/22 14:59,46,14.98916667,Zachary Noel,31:f4:e8:3e,46,NDF,0,420.92,0,1.25,2.85,control No-drought
3157343,Whole Data Set,1,34.35156,29.96,0.00019,571.928,-3.11,1.35,4.595,0.899,0.653,0.183,0.164,2.422,0.129,0.722,0.15,0.109,12/2/22 14:59,47,14.99944444,Zachary Noel,31:f4:e8:3e,47,CCH_F37_B,0,365.86,0,0.22,1.16,P. citrinum CCH_F37_B
3157344,Whole Data Set,1,34.6543,29.99,-0.00157,237.532,-3.56,1.01,3.748,1.52,0.601,0.158,0.241,2.157,0.076,0.686,0.239,-0.373,12/2/22 15:00,48,15.01027778,Zachary Noel,31:f4:e8:3e,48,OEO-198,0,371.87,0,0.22,0.96,L. elongata OEO-198
3158473,Whole Data Set,1,43.20703,21.04,0.00006,-50.218,0.63,2.77,7.68,0.063,0.801,0.188,0.012,0.86,0.752,0.223,0.025,-0.003,12/3/22 10:17,1,10.29527778,Zachary Noel,31:f4:e8:3e,1,OEO-196,2,287.01,0,,,L. elongata OEO-196
3158474,Whole Data Set,1,43.9707,21.16,0.0002,729.584,0.69,1.93,6.242,0.89,0.686,0.166,0.148,1.573,0.848,-0.148,0.3,0.146,12/3/22 10:18,2,10.30527778,Zachary Noel,31:f4:e8:3e,2,NDF,2,245.52,0,,,control No-drought
3158475,Whole Data Set,1,44.77441,21.31,0.00004,416.566,0.16,2.37,6.882,0.065,0.766,0.22,0.014,1.692,0.165,0.662,0.173,0.017,12/3/22 10:18,3,10.31444444,Zachary Noel,31:f4:e8:3e,3,DF,2,291.75,0,,,control drought
3158476,Whole Data Set,1,45.02637,21.48,0.00011,203.853,0.43,2.8,7.66,0.094,0.813,0.171,0.016,1.316,0.696,0.16,0.145,0.022,12/3/22 10:19,4,10.32416667,Zachary Noel,31:f4:e8:3e,4,OEO-198,2,291.07,0,,,L. elongata OEO-198
3158477,Whole Data Set,1,45.21973,21.65,0.0001,888.92,0.5,1.39,4.164,0.374,0.741,0.188,0.07,1.324,0.061,0.691,0.248,0.089,12/3/22 10:20,5,10.33388889,Zachary Noel,31:f4:e8:3e,5,CCH_F37_B,2,252.53,0,,,P. citrinum CCH_F37_B
3158478,Whole Data Set,1,45.6709,21.8,0.00006,887.021,-0.37,1.77,5.295,0.646,0.741,0.158,0.102,1.941,0.392,0.495,0.113,0.053,12/3/22 10:20,6,10.3425,Zachary Noel,31:f4:e8:3e,6,OEO-305,2,313.73,0,,,M. alpina OEO-305
3158479,Whole Data Set,1,46.11035,21.94,0.00005,116.912,0.53,0.28,0.961,1.113,0.657,0.162,0.181,1.781,0.06,0.528,0.411,0.006,12/3/22 10:21,7,10.35083333,Zachary Noel,31:f4:e8:3e,7,NVP5,2,313.58,0,,,M. elongata NVP
3158480,Whole Data Set,1,46.36426,22.12,0.00014,315.803,0.79,1.1,3.087,0.228,0.793,0.168,0.038,1.186,0.354,0.295,0.35,0.044,12/3/22 10:21,8,10.36,Zachary Noel,31:f4:e8:3e,8,OEO-304,2,269.01,0,,,M. calciphila OEO-304
3158481,Whole Data Set,1,46.4248,22.26,0.0001,-1705.735,0.69,2.54,7.271,0.136,0.777,0.196,0.027,1.547,0.682,0.485,-0.167,-0.171,12/3/22 10:22,9,10.36805556,Zachary Noel,31:f4:e8:3e,9,NDF,2,274.79,0,,,control No-drought
3158482,Whole Data Set,1,46.75977,22.41,0.00011,378.213,0.74,2.54,7.783,0.519,0.724,0.182,0.094,2.076,0.509,0.342,0.149,0.042,12/3/22 10:22,10,10.37638889,Zachary Noel,31:f4:e8:3e,10,OEO-305,2,287.85,0,,,M. alpina OEO-305
3158483,Whole Data Set,1,46.96387,22.56,22.18417,0,-0.57,3.17,8.775,0.121,0.803,0.176,0.021,1.387,0.102,0.548,0.35,0,12/3/22 10:23,11,10.38583333,Zachary Noel,31:f4:e8:3e,11,DF,2,220.73,0,,,control drought
3158484,Whole Data Set,1,47.01367,22.7,0.00014,52.859,0.69,2.69,8.066,0.551,0.74,0.167,0.092,1.35,0.553,0.377,0.07,0.007,12/3/22 10:23,12,10.39527778,Zachary Noel,31:f4:e8:3e,12,OEO-198,2,293.26,0,,,L. elongata OEO-198
3158485,Whole Data Set,1,46.66211,22.83,0.00012,633.233,0.94,2.62,7.852,0.488,0.742,0.173,0.085,1.235,0.235,0.687,0.078,0.076,12/3/22 10:24,13,10.40416667,Zachary Noel,31:f4:e8:3e,13,OEO-304,2,286.37,0,,,M. calciphila OEO-304
3158486,Whole Data Set,1,46.58105,22.96,0.00009,92.386,-0.39,2.81,8.084,0.265,0.772,0.18,0.048,1.989,0.45,0.421,0.129,0.008,12/3/22 10:24,14,10.41277778,Zachary Noel,31:f4:e8:3e,14,OEO-196,2,305.69,0,,,L. elongata OEO-196
3158487,Whole Data Set,1,46.6582,23.14,0.00008,269.092,-0.43,2.23,6.152,0.177,0.806,0.165,0.029,0.143,3.427,-2.148,-0.279,0.022,12/3/22 10:25,15,10.42222222,Zachary Noel,31:f4:e8:3e,15,NVP5,2,193.41,0,,,M. elongata NVP
3158500,Whole Data Set,1,46.82617,23.27,0.00011,-2290.643,0.26,0.4,1.141,0.383,0.77,0.166,0.064,1.379,0.038,0.659,0.303,-0.252,12/3/22 10:25,16,10.43111111,Zachary Noel,31:f4:e8:3e,16,CCH_F37_B,2,277.99,0,,,P. citrinum CCH_F37_B
3158536,Whole Data Set,1,46.15039,23.59,0.00019,469.607,0.98,1.81,5.942,0.957,0.678,0.165,0.157,0.487,2.098,-1.282,0.185,0.089,12/3/22 10:27,17,10.4525,Zachary Noel,31:f4:e8:3e,17,OEO-305,2,281.25,0,,,M. alpina OEO-305
3158537,Whole Data Set,1,46.55176,23.7,0.00009,1082.717,1.15,2.65,7.373,0.09,0.798,0.185,0.017,1.751,0.271,0.427,0.302,0.097,12/3/22 10:27,18,10.46083333,Zachary Noel,31:f4:e8:3e,18,NDF,2,327.94,0,,,control No-drought
3158538,Whole Data Set,1,46.94238,23.82,0.00014,440.523,0.85,2.62,7.39,0.082,0.789,0.195,0.016,0.485,1.407,-0.872,0.464,0.062,12/3/22 10:28,19,10.46972222,Zachary Noel,31:f4:e8:3e,19,CCH_F37_B,2,255.53,0,,,P. citrinum CCH_F37_B
3158539,Whole Data Set,1,46.95996,23.98,0.00012,462.605,0.83,2.09,6.42,1.055,0.722,0.135,0.143,1.518,0.079,0.423,0.498,0.056,12/3/22 10:28,20,10.48027778,Zachary Noel,31:f4:e8:3e,20,OEO-304,2,254.76,0,,,M. calciphila OEO-304
3158540,Whole Data Set,1,46.74707,24.1,0.00005,-5052.562,0.85,2.49,7.125,0.182,0.778,0.188,0.034,0.982,1.94,-1.485,0.546,-0.253,12/3/22 10:29,21,10.49,Zachary Noel,31:f4:e8:3e,21,OEO-196,2,241.62,0,,,L. elongata OEO-196
3158541,Whole Data Set,1,46.05762,24.41,0.0001,512.61,1.12,2.86,8.066,0.18,0.789,0.179,0.032,1.637,0.603,-0.126,0.524,0.051,12/3/22 10:30,22,10.51222222,Zachary Noel,31:f4:e8:3e,22,DF,2,283.56,0,,,control drought
3158542,Whole Data Set,1,46.09277,24.54,0.00009,86.417,1.13,2.63,7.621,0.321,0.768,0.176,0.056,1.086,0.291,0.288,0.42,0.008,12/3/22 10:31,23,10.52138889,Zachary Noel,31:f4:e8:3e,23,NVP5,2,335.3,0,,,M. elongata NVP
3158543,Whole Data Set,1,46.24121,24.82,0.00012,926.831,0.95,2.45,6.99,0.23,0.779,0.179,0.041,1.101,1.775,-0.895,0.12,0.111,12/3/22 10:32,24,10.53888889,Zachary Noel,31:f4:e8:3e,24,OEO-198,2,281.13,0,,,L. elongata OEO-198
3158544,Whole Data Set,1,44.56836,25.05,0.00011,515.496,0.96,3.29,9.197,0.142,0.794,0.18,0.026,2.026,0.066,0.608,0.326,0.057,12/3/22 10:33,25,10.55194444,Zachary Noel,31:f4:e8:3e,25,OEO-198,2,292.58,0,,,L. elongata OEO-198
3158546,Whole Data Set,1,44.66406,25.19,0.00009,690.291,0.76,2.88,8.887,0.991,0.721,0.14,0.139,0.582,0.347,0.129,0.524,0.062,12/3/22 10:33,26,10.55972222,Zachary Noel,31:f4:e8:3e,26,OEO-304,2,305.69,0,,,M. calciphila OEO-304
3158548,Whole Data Set,1,44.82812,25.39,0.00007,362.739,0.62,3.29,8.969,0.122,0.814,0.166,0.02,0.78,0.087,-0.222,1.135,0.025,12/3/22 10:34,27,10.56777778,Zachary Noel,31:f4:e8:3e,27,NDF,2,328.21,0,,,control No-drought
3158549,Whole Data Set,1,44.88477,25.6,0.00007,291.922,0.35,2.42,9.412,2.505,0.571,0.122,0.307,0.667,0.25,-0.196,0.945,0.02,12/3/22 10:34,28,10.57611111,Zachary Noel,31:f4:e8:3e,28,OEO-196,2,354.77,0,,,L. elongata OEO-196
3158551,Whole Data Set,1,44.93945,25.8,0.00013,1883.008,0.31,2.42,8.758,1.454,0.614,0.157,0.229,0.835,0.033,0.079,0.888,0.245,12/3/22 10:35,29,10.58361111,Zachary Noel,31:f4:e8:3e,29,OEO-305,2,309.42,0,,,M. alpina OEO-305
3158552,Whole Data Set,1,44.63672,25.98,0.00014,874.9,-1.55,2.69,7.762,0.324,0.77,0.174,0.056,2.516,0.203,0.628,0.169,0.122,12/3/22 10:35,30,10.59194444,Zachary Noel,31:f4:e8:3e,30,NVP5,2,304.8,0,,,M. elongata NVP
3158554,Whole Data Set,1,43.90625,26.18,0.0001,-82028.165,-0.13,2.73,7.61,0.169,0.796,0.175,0.029,2.22,0.258,0.551,0.191,-8.203,12/3/22 10:36,31,10.60083333,Zachary Noel,31:f4:e8:3e,31,DF,2,347.65,0,,,control drought
3158555,Whole Data Set,1,43.77246,26.39,0.00005,204.398,-0.28,3.16,8.653,0.42,0.811,0.133,0.056,0.676,1.58,-1.329,0.749,0.01,12/3/22 10:36,32,10.60861111,Zachary Noel,31:f4:e8:3e,32,CCH_F37_B,2,306.6,0,,,P. citrinum CCH_F37_B
3158557,Whole Data Set,1,42.81055,26.67,0.00003,-29304.276,-0.24,2.33,7.147,0.013,0.724,0.273,0.004,1.77,0.162,0.544,0.294,-0.879,12/3/22 10:37,33,10.62666667,Zachary Noel,31:f4:e8:3e,33,NDF,2,281.75,0,,,control No-drought
3158559,Whole Data Set,1,42.94141,26.79,0.00012,212.63,-0.22,3.25,9.945,1.11,0.727,0.13,0.144,0.527,0.122,0.433,0.445,0.026,12/3/22 10:38,34,10.63805556,Zachary Noel,31:f4:e8:3e,34,OEO-305,2,332.61,0,,,M. alpina OEO-305
3158560,Whole Data Set,1,42.74805,26.89,0.00006,280.719,-0.84,3.34,9.856,0.192,0.752,0.208,0.04,0.567,3.124,-2.157,0.034,0.017,12/3/22 10:38,35,10.645,Zachary Noel,31:f4:e8:3e,35,NVP5,2,359.73,0,,,M. elongata NVP
3158561,Whole Data Set,1,42.31836,27,0.00012,1385.768,-0.47,3.49,10.321,0.307,0.752,0.19,0.058,0.627,1.298,-1.361,1.064,0.166,12/3/22 10:39,36,10.65277778,Zachary Noel,31:f4:e8:3e,36,CCH_F37_B,2,322.58,0,,,P. citrinum CCH_F37_B
3158562,Whole Data Set,1,41.81543,27.12,0.00013,121.087,-0.77,3.29,9.588,0.249,0.763,0.19,0.047,0.09,10.691,-14.862,5.171,0.016,12/3/22 10:39,37,10.66027778,Zachary Noel,31:f4:e8:3e,37,OEO-304,2,238.38,0,,,M. calciphila OEO-304
3158564,Whole Data Set,1,41.81445,27.23,0.00006,434.384,-3.6,2.42,8.31,1.496,0.646,0.142,0.212,1.259,0.369,0.354,0.278,0.026,12/3/22 10:40,38,10.66777778,Zachary Noel,31:f4:e8:3e,38,OEO-196,2,318.86,0,,,L. elongata OEO-196
3158565,Whole Data Set,1,42.07617,27.35,0.00015,-3082.48,-0.92,2.8,8.935,1.009,0.696,0.151,0.153,0.663,1.492,-1.067,0.574,-0.462,12/3/22 10:40,39,10.675,Zachary Noel,31:f4:e8:3e,39,OEO-198,2,298.33,0,,,L. elongata OEO-198
3158567,Whole Data Set,1,42.19727,27.49,0.00014,1745.888,-1.1,3.12,8.844,0.129,0.783,0.192,0.025,0.155,6.201,-6.452,1.251,0.244,12/3/22 10:40,40,10.68305556,Zachary Noel,31:f4:e8:3e,40,DF,2,321.1,0,,,control drought
3158568,Whole Data Set,1,41.125,27.66,0.00007,157.395,-3.19,2.26,6.778,0.461,0.741,0.177,0.082,1.634,0.639,0.157,0.204,0.011,12/3/22 10:41,41,10.69527778,Zachary Noel,31:f4:e8:3e,41,OEO-304,2,297.19,0,,,M. calciphila OEO-304
3158570,Whole Data Set,1,41.34863,27.75,0.00005,-3209.896,-1.22,0.94,2.688,0.389,0.776,0.162,0.063,-1.382,-0.368,4.443,-3.076,-0.16,12/3/22 10:42,42,10.70333333,Zachary Noel,31:f4:e8:3e,42,DF,2,396.52,0,,,control drought
3158571,Whole Data Set,1,41.57617,27.88,0.0001,160.504,-1.03,2.82,8.143,0.392,0.769,0.166,0.065,2.047,0.582,0.247,0.171,0.016,12/3/22 10:42,43,10.71222222,Zachary Noel,31:f4:e8:3e,43,NVP5,2,342.16,0,,,M. elongata NVP
